Name,Address,Postal,Latitude,Longitude,Website,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated,Citizen test preparation,Help with daily life,Refugee services,Job language training,Job search support,LGBT services,Language assessment,Language training,Other services,Senior services,Women services,Youth services
Brampton Multicultural Community Centre - Brampton North - 197 County Court Blvd - Brampton South,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,services@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to newcomers to Canada Current programs and services include: Crisis Counselling Employment Services Community Connections Youth Settlement Seniors Mind your Health Most programs are provided at all three (3) locations 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",Program - Access Centre for Training and Technology: nominal fee,Permanent residents of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Community Connections-Library,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,services@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to newcomers to Canada Settlement workers in library-LSP workers organize a variety of information sessions based on the needs of the newcomer community * Library Settlement Partnership (LSP) is provided at Brampton Public Libraries. Participating Libraries Chinguacousy Library, Gore Meadows Library, South Fletchers Library, Mount Pleasant Library and Springdale Library Workshops and Events: English Conversation Circle - held weekly at all participating libraries. Participants practice English speaking and listening skills Newcomer Circles - held twice a month. Provide information to newcomers about settlement and how to prepare for life in Canada. Educates newcomers to understand the Region of Peel Community and resources available to them Seniors Sessions - held twice a month. Sessions are designed for seniors to come and share their thoughts on various topics including positive parenting, anger management, mental health, diet and nutrition, diabetes and prevention, stress/time management Pathways to Settlement Workshops - held monthly. Address current trends in the community as well as Canadian Citizenship Preparation information, financial literacy, job search resources and other information",None,Newcomers,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Community Connections-Schools,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,services@bmccentre.org,905-790-8482,"Multicultural, Settlement and Education Partnership (MSEP) program is a partnership between Immigration, Refugees and Citizenship Canada, the Peel District School Board, and the Dufferin Peel Catholic",None,New comers: students and parents/guardians,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 6, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Employment Services,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,employment@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to the newcomers to Canada Supports client's job search capabilities and equips them with the necessary information, skills and tools to search for and find meaningful employment. Addresses barriers for newcomers who migrate to Canada Navigating the Canadian Labour Market - workshops that provide participants with a better understanding of the current market, develop a targeted resume, create an effective job search plan and learn about employer expectations. Through various networking sessions, participants will learn how to obtain professional and personal references, practice speaking in front of a group and build on their self-confidence through social engagements Integrated Employment Services - will provide individuals with detailed needs assessment, pre-employment training, job carving/matching services and retention support. The program is designed to help local businesses with their staffing needs by providing nominal financial incentive to employers for eligible clients",None,Permanent residents of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Mind Your Health,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,myh@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to the newcomers to Canada Mind Your Health Program is a culturally sensitive and linguistically appropriate self-awareness program about Mental Health. Its goal is to raise awareness, reduce stigma and promote mental health and well-being of the individuals and families from diverse backgrounds, so that they can enhance their ability to adapt to change, cope with challenges, engage in productive activities and contribute to their community Program offers: Assessment and Referral Counselling Case Management Services Peer Support Groups Mental Health Workshops Life Skills Training",None,Individuals ages 16 and up and their families experiencing mental Health issues,English * Hindi * Punjabi * Urdu,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Settlement - Information and Awareness Services,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,services@bmccentre.org,905-790-8482,"Program offers information and orientation on immigration, healthcare, education, employment, form filling, translation/interpretation, supportive crisis counselling and referrals to government and community Settlement counselors serve and work with the newcomer community in Peel to facilitate new immigrant settlement and integration in Canada. These settlement counselors work with new comers by creating an action plan that helps them achieve their ultimate goal Counselors also organize various information sessions that are of interest in the community. Some of these sessions include: Accessing Settlement Services Online Rights and Responsibilities of citizenship Money Management Transportation Housing/Landlord/Tenant Rights Education System in Ontario Canadian Workplace Culture Stress Management Crisis Counselling Wills/Legal Matters Life Skills Orientation to Ontario Navigating the Labour Market Services are provided at three (3) locations in Peel area: 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",No Fee,New comers to Canada,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Settlement - Newcomer Settlement Program (NSP),"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,services@bmccentre.org,905-790-8482,"The Newcomer Settlement Program (NSP), supports immigrants, refugees and citizens in their settlement and adaptation process. Settlement Counselors assist clients either one on one or in a group setting to overcome day-to-day challenges, find out about available services of benefit to them, and support them as they integrate into their communities. Various workshops are conducted every month on various settlement related topics such as landlord and tenant rights, the Ontario school system, and parenting in Canada, government programs and services, healthcare etc.",No Fee,Newcomers to Canada,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Youth - New Direction: Gang Prevention and Intervention,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,newdirection@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to the newcomers to Canada Provides support to youth who are at-risk/involved in gang related activities. Youth ages 12 â 20 years old are engaged through client-centered and solution-oriented counselling, life skills and employment readiness workshops, mentoring and tutoring sessions, to ensure they remain out of the criminal justice system. Guided by a network of significant individuals in the youth participantâs life, BMC utilizes the âWrap Aroundâ approach to collectively provide encouragement and support to youth and help them achieve goals to contribute to their holistic development and sustain learning outcomes. The prevention part of the program if offered through life skills workshops focusing on self-esteem, anger/conflict management, goal setting, personal awareness, healthy relationships and the importance of staying in school. Designed according to the needs of the audience and delivered in various schools and youth serving agencies in Peel, the objective of these workshops is to strengthen critical thinking skills amongst youth The program also offers intervention services where a youth is referred into the program and works one-on-one with their youth counsellors. The prevention part of the program is more specific to youth who are involved or are at risk of becoming involved in gang related activities. Sessions are conducted on a one on one basis",None,Youth ages 12 - 20 years who are at risk/involved in gang related activities,English,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Youth - Pathways to Entrepreneurship,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,bmc.youth@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to newcomers to Canada Offers support to youth to learn the basics of starting their own business, helps them develop an understanding of the challenges, expectations and steps involved in starting and operating a successful enterprise Through training and other activities participants will develop basic business management skills, refine their business concepts, and prepare a business plans. In addition, participants will engage in various networking sessions with other entrepreneurs to gain knowledge and information on business development and growth",None,18 to 29 years of age,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - Youth - Volunteers for Change (V4C),"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,v4c@bmccentre.org,905-790-8482,"The project aims to engage youth in meaningful service experiences through an innovative peer-to-peer model that combines orientation to key community issues impacting youth, skill building and volunteer work Program Objectives: Enhance youthâs capacity to become involved and lead social action projects that address community issues Raise awareness on community issues among other young people through a peer-to-peer model and community service projects in the Region of Peel Youth Leadership training will be provided, also a Certificate of Completion and Volunteer Hours will be provided on completion of the project",Free,Immigrant and visible minority youth between 15-24 years,English * French * Arabic * Bengali * Bosnian * Darai * Gujarati * Hindi * Persian * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caledon Community Services - LINC - Language Instruction for Newcomers to Canada,"Royal Courtyards, Upper Level 18 King St E Bolton, ON L7E 1E8",L7E 1E8,43.8801060123718,-79.7372602731489,http://ccs4u.org,info@ccs4u.org,905-584-2300 ext 257,"LINC (Language Instruction for Newcomers to Canada) is a program that provides language instruction in one of Canada's official languages The program is open to all adult immigrants, 18 years of age and over, who are Permanent Residents, Landed Immigrants or Convention Refugees An assessment interview is required to confirm the client is eligible for LINC and their current language proficiency Free childcare offered to participants, for children 18 months and over Free transportation assistance available to eligible participants",None,"Program is open to all adult immigrants (18 years and over) who are landed immigrants or convention refugees; an assessment interview confirms that the client is eligible for LINC, as well as their current language proficiency",English * Italian,Caledon,"December 14, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Can-In Multicultural Association,"c/o Dr Bhushan Sood 5223 Astwell Ave N Mississauga, ON L5R 3H8",L5R 3H8,43.5975812791233,-79.6741651731578,NA,doctorsood@hotmail.com,NA,Multicultural association * provides help to new immigrants with learning a new language * settling into new culture * promotes art and culture (organizes programs and stage shows) * counsels and guides students and parents regarding their educational needs. * Healing body-mind-soul through Metaphysical Hypnosis Practice *Hypnodontics * Grief counselling,Membership - $20/yr/person; $300 life membership,NA,English * Hindi * Punjabi,Peel Region,"February 5, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANES Community Care - Community Outreach - Etobicoke and Brampton,"10 Carlson Court, Suite 200 Etobicoke, ON M9W 6L2",M9W 6L2,43.6901865948527,-79.5859136019904,http://www.canes.on.ca,information@canes.on.ca,416-743-3892,"Support for newcomer older adults * introduces them to available government and social services programs and supports * language and culturally specific service Support group meetings held at: Etobicoke and Brampton area R. J. Smith Apartments Auditorium, 101 Kendleton Dr, Tue 12:30pm-3pm North Kipling Community Centre, 2 Rowntree Rd, for Gujarati speaking clients, Wed 10am-12:30pm North Kipling Community Centre, 2 Rowntree Rd, Wed 1pm-3:30pm and Thu 1pm-3pm 850 Humberwood Blvd, Room 1016, Etobicoke Mon 12noon-2pm Mount Pleasant, 100 Commuter Dr. Wed 12 noon-2 pm, Brampton, ON 2 Green Briar, 1100 Central Park Dr. Wed 12 noon-2 pm, Brampton, ON",Varies per program,"Newcomer senior or an adult with a disability who lives in Brampton, Etobicoke, Malton or Wooodbridge",English * Hindi * Gujurati : Punjabi * Urdu,"Brampton, Mississauga (Malton), Toronto (Etobicoke), and Vaughan (Woodbridge)","December 13, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catholic Crosscultural Services (CCS) - Brampton Office,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.69258567912,-79.7532367019904,http://www.cathcrosscultural.org/,NA,905-457-7740,"Provides information and orientation services to immigrants and refugees * connects clients to basic services in the community including all levels of government * offers counselling and support to families through case management, support groups, crisis intervention, etc Services include: individual assessment of the newcomerâs settlement needs and development of a detailed settlement plan workshops to help newcomers develop an understanding of life in Canada making connections with available community services in the areas of health, housing, education, childcare, employment, finance, immigration, post-secondary education, language learning and legal supports help with understanding and completing government forms and applications connection with community and volunteer opportunities ongoing support to meet settlement and integration needs of newcomers and their families Programs: Employment Access Program- provides newcomers with an understanding of the Canadian job market, job search preparation and learning new strategies to find jobs in Canada Support Services for Women- confidential counselling services to assist newcomer women and their children who have, or are, experiencing domestic abuse Language Instruction For Newcomers To Canada (LINC)- provides English classes and related services to assist youth, adult and senior newcomers to settle and adapt in Canada * assessment test required * free child-minding for students Refugee Sponsorship Training Program(RSTP)- The RSTP is a program designed to support the Sponsorship Agreement Holders (SAHs) of Canada, their Constituent Groups, Groups of Five and Community Sponsors interested in sponsoring refugees Mental Health Program- offers cultural and language specific counselling Income Tax Clinic- by appointment only - March and April every year Volunteer Opportunities",None,Immigrants and residents of Peel,English * Arabic * Dari * Hindi * Khasi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 7, 2022",no,yes,no,no,yes,no,no,yes,no,no,yes,no
Catholic Crosscultural Services (CCS) - Brampton Office - Employment Access Program,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.69258567912,-79.7532367019904,http://www.cathcrosscultural.org/employment-support/,NA,905-457-7740,"Provides newcomers with an understanding of the Canadian job market, job search preparation and learning new strategies to find jobs in Canada. Services include: Workshops on job search, labour market information and Canadian workplace culture Resume, cover letter and interview preparation Career related information sessions and opportunities to network with employers Individual career coaching and assistance to develop a personalized employment plan Referrals and information on how to practice professions and trades",None,"Open to landed immigrants, convention refugees, and live-in-caregivers",English * Arabic * Darai * Hindi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 16, 2022",no,yes,no,no,yes,no,no,yes,no,no,yes,no
Catholic Crosscultural Services (CCS) - Brampton Office - Learn English,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.69258567912,-79.7532367019904,http://www.cathcrosscultural.org/2016/01/06/english-classes/,jsw@ccspeel.org,905-272-1703,"English Classes provide participants with communication skills (listening, reading, speaking and writing) from beginner to advanced levels according to the Canadian Language Benchmarks * Classes cover a range of topics to help newcomers with theo9r social, economic and cultural integration into Canadian Society",None,"Permanent Resident or convention refugee, landed immigrants",English,Peel Region,"September 16, 2022",no,yes,no,no,yes,no,no,yes,no,no,yes,no
Catholic Crosscultural Services (CCS) - Brampton Office - Newcomer LGBTQ+,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.69258567912,-79.7532367019904,http://www.cathcrosscultural.org/newcomer-lgbtq/,NA,905-457-7740,The hybrid LGBTQ+ online program provides newcomer individuals in LGBTQ+ community and those who are questioning their sexual identity a safe place to discuss LGBTQ+ topics and discuss their concerns and questions as well as be connected to resources and services that can support them,None,Immigrants and residents of Peel,English * Arabic * Darai * Khasi * Hindi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 16, 2022",no,yes,no,no,yes,no,no,yes,no,no,yes,no
Catholic Crosscultural Services (CCS) - Brampton Office - Refugee Sponsorship Training Program (RSTP),"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.69258567912,-79.7532367019904,http://cathcrosscultural.org/refugee-sponsorship-training/,NA,905-457-7740,"The RSTP is a program designed to support the Sponsorship Agreement Holders (SAHs) of Canada, their Constituent Groups, Groups of Five and Community Sponsors interested in sponsoring refugees. The program provides: resources and services to meet ongoing information and training needs of private sponsors including Sponsorship Agreement Holders, their Constituent Groups, Groups of Five and Community Sponsors. This includes information about the refugee sponsorship process, how to complete government forms, the international refugee situation and other information needed to sponsor, welcome and settle refugees information is offered through webinars, e-training, workshops and conferences as well as through video and print materials and responses to individual queries Contact 416-290-1700 / Toll-free: 1-877-290-1701 for details",None,Immigrants and residents of Peel,English * French * Arabic * Darai * Hindi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 20, 2022",no,yes,no,no,yes,no,no,yes,no,no,yes,no
Catholic Crosscultural Services (CCS) - Brampton Office - Settlement Services,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.69258567912,-79.7532367019904,http://www.cathcrosscultural.org/settlement-services/,NA,905-457-7740,"Assist newcomers of all ages to adjust and integrate into Canadian society and connect with helpful community-facing resources Services include: Individual assessment of the newcomerâs settlement needs and development of a detailed settlement plan Information sessions to help newcomers develop an understanding of life in Canada, Canadian culture and traditions, and their rights Accessible community services in the areas of health, housing, education, childcare, employment, finance, immigration, language learning and legal supports Help with understanding and completing government forms and applications Connections to volunteer opportunities Assistance in preparing for the Canadian citizenship test Support with issues in relation to ongoing settlement and integration needs of newcomers and their families",None,"Permanent residents, convention refugee, live-in-caregiver, approved in principle",English * Arabic * Darai * Gujarati * Hindi * Pashto * Persian * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu * Uzbek,Peel Region,"September 16, 2022",no,yes,no,no,yes,no,no,yes,no,no,yes,no
Catholic Crosscultural Services (CCS) - Brampton Office - Women's Support Services,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.69258567912,-79.7532367019904,http://www.cathcrosscultural.org/womens-support-services/,NA,905-457-7740,"Provides supportive counselling to newcomer women and their children who have or are experiencing domestic violence * individual and group counselling services offered Short-term, goal-focused counselling including the development of transition, safety strategies, and information on rights and options Crisis and support counselling to help individuals seeking immediate assistance Linking women to appropriate services in the community that address legal, housing, financial and long-term counselling needs The Transitional Housing Support Worker provides support services for newcomer women who are receiving Womenâs Support Services to assist them in accessing community supports that will help them find and maintain housing",None,"Women, new immigrants and residents of Peel, who have or are experiencing domestic violence",English * Arabic * Hindi * Polish * Spanish * Urdu,Peel Region,"September 16, 2022",no,yes,no,no,yes,no,no,yes,no,no,yes,no
