,Name,Coordinates,Address,City,Postal,Province,In Peel,Website,Email,Phone,Citizen test preparation,Help with daily life,Refugee services,Job language training,Job search support,LGBT services,Language assessment,Language training,Other services,Senior services,Women services,Youth services
10,Achēv,"(43.878827, -78.954028)",1003 Giffard Street,Whitby,L1N 2S4,Ontario,no,http://www.achev.ca ,info@achev.ca,905-666-1255,no,no,no,no,no,no,yes,no,no,no,no,no
11,Achēv,"(43.830365, -79.082951)","1400 Bayly Street, Unit 5",Pickering,L1W 3R2 ,Ontario,no,http://www.achev.ca ,info@achev.ca,1-877-761-1155,no,no,no,no,no,no,yes,no,no,no,no,no
12,Achēv,"(44.034409, -79.474827)",16655 Yonge Street,Newmarket,L3X 1V6,Ontario,no,http://www.achev.ca ,info@achev.ca,289-841-3032,no,no,no,no,no,no,yes,no,no,no,no,no
13,Achēv,"(43.700951, -79.743194)","263 Queen Street East, Unit 14",Brampton,L6W 3J3,Ontario,yes,http://www.achev.ca ,info@achev.ca,905-595-0722,no,yes,no,no,yes,no,yes,no,no,no,no,no
14,Achēv,"(43.900071, -78.853673)",272 King Street East,Oshawa,L1H 1C9,Ontario,no,http://www.achev.ca ,info@achev.ca,905-579-1821,no,no,no,no,no,no,yes,no,no,no,no,no
15,Achēv,"(44.400809, -79.703646)",320 Bayfield Street,Barrie,L4M 3C1,Ontario,no,http://www.achev.ca ,info@achev.ca,705-725-8990 ext. 45200 ,no,no,no,no,no,no,yes,no,no,no,no,no
16,Achēv,"(44.110668, -79.583335)",425 Holland Street West,Bradford,L3Z 0J2,Ontario,no,http://www.achev.ca ,info@achev.ca,905-775-3328,no,no,no,no,no,no,yes,no,no,no,no,no
17,Achēv,"(43.847324, -79.037655)",458 Fairall Street,Ajax,L1S 1R6,Ontario,no,http://www.achev.ca ,info@achev.ca,1-877-761-1155,no,no,no,no,no,no,yes,no,no,no,no,no
18,Achēv,"(43.59192, -79.635727)","50 Burnhamthorpe Road West, Suite 300",Mississauga,L5B 3C2,Ontario,yes,http://www.achev.ca ,info@achev.ca,905-949-0049,no,yes,no,no,yes,no,yes,no,yes,no,no,no
19,Achēv,"(43.442699, -79.696699)","690 Dorval Drive, Suite 100",Oakville,L6K 3X9,Ontario,no,http://www.achev.ca ,info@achev.ca,905-875-3851,no,yes,no,no,yes,no,yes,no,yes,no,no,no
20,Achēv,"(43.831563, -79.30754)",7220 Kennedy Road,Markham,L3R 7P2,Ontario,no,http://www.achev.ca ,info@achev.ca,905-479-7926,no,no,no,no,no,no,yes,no,no,no,no,no
21,Achēv,"(43.711649, -79.65409)","7420 Airport Road, Suite 104",Malton,L4T 4E5,Ontario,yes,http://www.achev.ca ,info@achev.ca,905-677-0007,no,yes,no,no,yes,no,yes,no,yes,no,no,no
22,Achēv,"(43.847294, -79.357351)",8400 Woodbine Avenue,Markham,L3R 4N7,Ontario,no,http://www.achev.ca ,info@achev.ca,1-877-761-1155,no,no,no,no,no,no,yes,no,no,no,no,no
23,Achēv,"(43.829769, -79.533229)",9100 Jane Street,Vaughan, L4K 0A4,Ontario,no,http://www.achev.ca ,info@achev.ca,1-877-761-1155,no,no,no,no,no,no,yes,no,no,no,no,no
24,Achēv,"(43.856619, -79.429301)",9325 Yonge Street,Richmond Hill,L4C 0A8,Ontario,no,http://www.achev.ca ,info@achev.ca,1-877-761-1155,no,no,no,no,no,no,yes,no,no,no,no,no
25,Achēv,"(43.842158, -79.401451)","Doncrest Market Place, 420 Highway 7 East",Richmond Hill,L4B 3K2,Ontario,no,http://www.achev.ca ,info@achev.ca,1-855-330-8655,no,no,no,no,no,no,yes,no,no,no,no,no
26,Action for Healthy Communities Society of Edmonton,"(53.549583, -113.516009)",200-10578 113 St NW,Edmonton,T5H 3H5,Alberta,no,http://www.a4hc.ca/,,780-944-4687,no,yes,no,no,yes,no,no,no,no,no,no,yes
27,Actions interculturelles de développement et d'éducation (AIDE) inc.,"(45.400363, -71.882765)",465 Rue Lawford,Sherbrooke ,J1G 2C2,Quebec,no,http://www.aide.org,aide@aide.org,819-822-4180,no,no,no,no,no,no,no,no,no,no,no,no
28,Adult Language and Learning,"(42.434764, -81.888848)",16 George Street,Blenheim,N0P 1A0,Ontario,no,http://adultlanguageandlearning.ca/,,519-676-3174,no,yes,no,no,no,no,no,no,no,no,no,yes
29,Adult Language and Learning,"(42.589712, -82.180611)",187 Brown Street,Dresden,N0P 1M0,Ontario,no,http://adultlanguageandlearning.ca/,,519-354-2940,no,yes,no,no,no,no,no,no,no,no,no,yes
30,Adult Language and Learning,"(42.259542, -82.431904)",2 Queen Street,Tilbury,N0P 2L0,Ontario,no,http://adultlanguageandlearning.ca/,,519-354-7424,no,yes,no,no,no,no,no,no,no,no,no,yes
31,Adult Language and Learning,"(42.594553, -82.382464)",209 James Street,Wallaceburg,N8A 2N4,Ontario,no,http://adultlanguageandlearning.ca/,,519-354-7424,no,yes,no,no,no,no,no,no,no,no,no,yes
32,Adult Language and Learning,"(42.404971, -82.189023)",240 King Street West,Chatham,N7M 1E7,Ontario,no,http://adultlanguageandlearning.ca/,,519-354-7424,yes,yes,no,no,yes,no,no,yes,no,no,no,yes
33,Adult Language and Learning,"(42.421745, -82.191715)",285 McNaughton Avenue West,Chatham,N7L 2G7,Ontario,no,http://adultlanguageandlearning.ca/,,519-354-7424,no,yes,no,no,no,no,no,no,no,no,no,yes
34,Adult Language and Learning,"(42.095047, -82.464358)",35 Talbot Road West,Wheatley,N0P 1A0,Ontario,no,http://adultlanguageandlearning.ca/,,519-354-2940,no,yes,no,no,no,no,no,no,no,no,no,yes
35,Adult Language and Learning,"(42.473235, -82.405227)",54 Main Street,Ridgetown,N0P 2C0,Ontario,no,http://adultlanguageandlearning.ca/,,519-948-5545,no,yes,no,no,no,no,no,no,no,no,no,yes
36,Afghan Women's Counselling and Integration Community Support Organization,"(43.734355, -79.257335)","2555 Eglinton Avenue East, Unit 211",Toronto,M1K 5J1,Ontario,no,,aniazi@afghanwomen.org,416-266-2936,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes
37,Afghan Women's Counselling and Integration Community Support Organization,"(43.713554, -79.335601)","747 Don Mills Road, Unit 30",Mississauga,M3C 1T2,Ontario,no,,aniazi@afghanwomen.org,416-422-2225,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes
38,Afghan Women's Counselling and Integration Community Support Organization,"(43.71859, -79.337519)","789 Don Mills Road, Suite 700",Toronto,M3C 1T5,Ontario,no,,aniazi@afghanwomen.org,416-588-3585,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes
39,Afghan Women's Organization,"(43.577793, -79.621323)","3050 Confederation Parkway, Unit 302",Mississauga,L5B 3Z6,Ontario,yes,,,905-279-3679,no,yes,no,no,no,no,no,yes,yes,no,yes,yes
40,Agape Language Centre,"(51.127657, -114.076547)",16 Bermuda Drive NW,Calgary,T3K 1H7,Alberta,no,http://www.agapelanguagecentre.com,nwoodburn@agapelanguagecentre.com,403-516-1846,no,no,no,no,no,no,no,yes,no,no,no,no
41,Agincourt Community Services Association,"(43.767444, -79.280577)",1911 Kennedy Road,Scarborough,M1P 2L9,Ontario,no,https://www.agincourtcommunityservices.com/,,416-321-6912,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes
42,Agincourt Community Services Association,"(43.747911, -79.281091)",2219 Lawrence Avenue East,Scarborough,M1P 2P5,Ontario,no,https://www.agincourtcommunityservices.com/,,416-321-6912,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
43,Agincourt Community Services Association,"(43.756555, -79.248596)",3030 Lawrence Avenue East,Scarborough,M1P 2T7,Ontario,no,https://www.agincourtcommunityservices.com/,,416-321-6912,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
44,Agincourt Community Services Association,"(43.66293, -79.411385)",545 Markham Road,Scarborough,M1H 2A1,Ontario,no,https://www.agincourtcommunityservices.com/,,416-321-6912,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
45,Alberta International Medical Graduate School,"(51.065097, -114.056385)","1409 Edmonton Trail NE, Suite 202",Calgary,T2E 3K8,Alberta,no,http://www.aimga.ca,calgary@aimga.ca,587-524-2750,no,no,no,no,no,no,no,no,yes,no,no,yes
46,Alberta International Medical Graduate School,"(53.540588, -113.502488)",420-10055 106 Street NW,Edmonton,T5J 2Y2,Alberta,no,http://www.aimga.ca,edmonton@aimga.ca,587-524-2750,no,no,no,no,no,no,no,no,yes,no,no,yes
47,Alberta Somali Community Centre,"(53.5705, -113.5051)",Unit 101 - 9219 111 Avenue,Edmonton,T5G 0A2,Alberta,no,,albertasomalicommunitycentre@gmail.com,780-757-3334,no,no,no,no,yes,no,no,no,yes,no,yes,no
48,Algonquin and Lakeshore Catholic District School Board ,"(44.255019, -76.948669)",151 Dairy Avenue,Napanee,K7R 4B2,Ontario,no,http://www.alcdsb.on.ca ,info@alcdsb.on.ca,613-354-2255,no,no,no,no,no,no,no,yes,no,no,no,no
49,Algonquin Lakeshore Catholic District School Board,"(44.159899, -77.396882)",161 Bridge Street West,Belleville,K8P 1K2,Ontario,no,,,613-544-3361,no,no,yes,no,no,no,no,yes,no,no,no,no
50,Alliance for South Asian AIDs Prevention,"(43.662731, -79.37645)","120 Carlton Street, Unit 315",Toronto,M5A 4K3,Ontario,no,http://www.asaap.ca,settlementmanager@asaap.ca,416-420-9577,yes,yes,no,no,yes,yes,no,no,no,no,no,no
51,Alliance for South Asian AIDs Prevention,"(43.662731, -79.37645)",315-120 Carlton Street,Toronto,M5A 4K3,Ontario,no,http://www.asaap.ca,settlementmanager@asaap.ca,416-420-9577,no,yes,no,no,yes,yes,no,no,yes,no,no,no
52,Altered Minds Inc.,"(49.8947, -97.141503)",400-259 Portage Avenue,Winnipeg,R3B 2A9,Manitoba,no,http://www.entryprogram.ca,information@entryprogram.ca,204-944-0133,no,yes,no,no,no,no,no,no,yes,no,no,no
53,Archway Community Services Society,"(49.045968, -122.29)",2420 Montrose Avenue,Abbotsford,V2S 3S9,British Columbia,no,http://www.abbotsfordcommunityservices.com/,hello@archway.ca,604-859-7681,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes
54,Assiniboine Community College,"(49.8410717, -99.9211903)",1430 Victoria Avenue East,Brandon,R7A 2A9,Manitoba,no,http://www.assiniboine.net,esl@assiniboine.net,204-725-8744,no,no,no,no,no,no,no,yes,no,no,no,no
55,ASSIST Community Services Centre,"(53.451429, -113.527194)",2-810 Saddleback Road NW,Edmonton,T6J 4W4,Alberta,no,http://www.assistcsc.org,,780-429-3119,no,yes,no,no,yes,no,no,yes,no,no,no,no
56,Association canadienne-française de l'Ontario - Conseil régional des Mille-Îles (ACFOMI),"(44.25272, -76.461254)",760 Highway 15,Kingston,K7I 0C3,Ontario,no,http://www.acfomi.org/,info@acfomi.org,613-546-7863,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes
57,Association des francophones de la région de York,"(44.006336, -79.463482)",90 Walton Drive,Aurora,L4G3K4,Ontario,no,https://afry.ca/,info@afry.ca,289-552-4297,no,yes,yes,no,yes,no,yes,no,yes,no,no,no
58,Association des francophones du Nord-Ouest,"(48.436671, -89.220167)","234, Van Norman Street",Thunder Bay,P7A 4B8,Ontario,no,https://afnoo.org/,,888-248-1712,no,yes,yes,no,yes,no,no,no,yes,no,no,no
59,Association for New Canadians (ANC),"(52.947436, -66.898671)",118 Humphrey Road,Labrador City,A2V 2L3,Newfoundland and Labrador,no,http://www.ancnl.ca/,settlement@nfld.net,709-722-9680,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
60,Association for New Canadians (ANC),"(47.568658, -52.708664)",144 Military Road,St. John's,A1C 2E6,Newfoundland and Labrador,no,http://www.ancnl.ca/,settlement@nfld.net,709-722-9680,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes
61,Association for New Canadians (ANC),"(48.952039, -55.642637)",28 Hardy Avenue,Grand Falls-Windsor,A2A 2P8,Newfoundland and Labrador,no,http://www.ancnl.ca/,settlement@nfld.net,709-722-9680,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
62,Association for New Canadians (ANC),"(49.938443, -56.191567)",32 Main Street,Forteau,A0K 2P0,Newfoundland and Labrador,no,http://www.ancnl.ca/,settlement@nfld.net,709-722-9680,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
63,Association for New Canadians (ANC),"(53.296428, -60.327696)",6 Hillcrest Road,Happy Valley-Goose Bay,A0P 1E0,Newfoundland and Labrador,no,http://www.ancnl.ca/,settlement@nfld.net,709-722-9680,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
64,Association for New Canadians (ANC),"(48.952264, -57.947411)","9 Main Street, Suite 203",Corner Brook,A2H 1C2,Newfoundland and Labrador,no,http://www.ancnl.ca/,settlement@nfld.net,709-722-9680,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
65,Association franco-yukonnaise,"(60.722528, -135.05729)",302 Strickland Street,Whitehorse,Y1A 2K1,Yukon,no,http://www.afy.yk.ca,,867-668-2663,no,yes,no,no,yes,no,no,no,yes,no,yes,no
66,Atlantic Region Association of Immigrant Serving Agencies (ARAISA),"(44.6450702, -63.6194877)",2132B-6960 Mumford Road,Halifax,B3L 4P1,Nova Scotia,no,https://araisa.ca/,INFO@ARAISA.CA,902-431-3203,no,no,no,no,no,no,no,no,yes,no,no,no
67,Aurora College,"(62.456228, -114.366961)",4509 Franklin Avenue,Yellowknife,X1A 2B9,Northwest Territories,no,http://www.auroracollege.nt.ca,info@auroracollege.nt.ca,867-920-3279,no,no,no,no,no,no,no,yes,no,no,no,no
68,Aurora Family Therapy Centre Inc.,"(49.890892, -97.153395)",515 Portage Avenue,Winnipeg,R3B 2E9,Manitoba,no,http://www.aurorafamilytherapy.com/,aurora@uwinnipeg.ca,204-786-9251,no,yes,no,no,no,no,no,no,no,no,no,no
69,Back in Motion,"(49.139595, -122.846026)",110 - 7525 King George Highway,Surrey,V3W 5A8,British Columbia,no,http://www.skillsconnect.ca,,Inquiries Line: 604-575-3800; Reception: 604-575-3800,no,no,no,no,yes,no,no,no,yes,no,no,no
70,Battlefords Immigration Resource Centre,"(52.773413, -108.290172)",761C 106th Street,North Battleford,S9A 1V9,Saskatchewan,no,http://www.battlefordsimmigration.ca/,immigration2@accesscomm.ca,306-446-0622,no,yes,no,no,yes,no,no,no,no,no,no,no
71,Big Brothers Big Sisters of Peel,"(43.704242, -79.725604)","71 West Drive, Unit 23",Brampton,L6T 5E2,Ontario,yes,https://peel.bigbrothersbigsisters.ca/,,905-457-7288,no,no,no,no,no,no,no,no,no,no,no,yes
72,Bilingual Economic Development Network of Newfoundland and Labrador,"(47.58846, -52.732141)","65 Ridge Road, Unit 245",St. John's,A1B 4P5,Newfoundland and Labrador,no,https://www.rdeetnl.ca/en-ca,info@rdeetnl.ca,709-726-5976,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes
73,Black Coalition for AIDS Prevention,"(43.649988, -79.377191)","20 Victoria Street, 4th Floor",Toronto,M5C 2N8,Ontario,no,http://www.black-cap.com/,,416-977-9955,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
74,Board of Education of School District No 43,"(49.283932, -122.806882)",1195 Lansdowne Drive,Coquitlam,V3B 7Y8,British Columbia,no,http://learnenglish43.ca,,604-937-8054,no,no,no,no,no,no,no,yes,no,no,no,no
75,Board of Education of School District No 43,"(49.250398, -122.848403)",1600 King Albert Ave,Coquitlam,V3J 1Y5,British Columbia,no,http://learnenglish43.ca,,604-936-4201,no,yes,no,no,no,no,no,yes,yes,no,no,yes
76,Board of Education of School District No 43,"(49.289832, -122.791603)",3000 Pinewood Avenue,Coquitlam,V3B 7Y7,British Columbia,no,http://learnenglish43.ca,,604-464-2513,no,yes,no,no,no,no,no,no,no,no,no,yes
77,Board of Education of School District No 43,"(49.243197, -122.840758)",380 Montgomery Street,Coquitlam,V3K 5G2,British Columbia,no,http://learnenglish43.ca,,604-936-4261,no,no,no,no,no,no,no,yes,yes,no,no,no
78,Board of Governors of Red River College,"(50.90683, -97.220373)",339 River Road,Arborg,R0C 0A0,Manitoba,no,https://rrc.ca/ltc/,kbedard106@rrc.ca,204-793-1104,no,yes,no,no,yes,no,no,yes,yes,no,yes,yes
79,Board of Governors of Red River College,"(49.518838, -96.683055)",430 Third Street,Steinbach,R5G0K5,Manitoba,no,https://rrc.ca/ltc/,steinbach-ltc@rrc.ca,204-793-1104,no,yes,no,no,yes,no,no,yes,yes,no,yes,yes
80,Board of Governors of Red River College,"(53.819587, -101.237159)","436 7 St E, The Pas",Thompson,R9A 1T4,Manitoba,no,https://rrc.ca/ltc/,thompsonLTC@rrc.ca,204-793-1104,no,yes,no,no,yes,no,no,yes,yes,no,yes,yes
81,Board of Governors of Red River College,"(49.9033, -97.2074)",C212-2055 Notre Dame Avenue,Winnipeg,R3H 0J9,Manitoba,no,http://www.rrc.ca,cle@rrc.ca,204-632-2288,no,yes,no,yes,no,no,yes,yes,no,no,no,no
82,Bow Valley College,"(51.292939, -114.01316)",121 - 104 1st Avenue North West,Calgary,T4B 0R2,Alberta,no,http://bowvalleycollege.ca/,bvcairdrie@bowvalleycollege.ca,403-355-1910,no,no,no,no,no,no,no,yes,no,no,no,no
83,Bow Valley College,"(51.178284, -115.57272)",229 Bear Street,Calgary,T1L 1A9,Alberta,no,http://bowvalleycollege.ca/,,403-760-2485,no,no,no,no,no,no,no,yes,no,no,no,no
84,Bow Valley College,"(50.5764655, -113.8734085)",2nd Floor 710 Centre Street SE,Calgary,T1V 0H3,Alberta,no,http://bowvalleycollege.ca/,,403-441-2399,no,no,no,no,no,no,no,yes,no,no,no,no
85,Bow Valley College,"(51.057841, -114.055574)",335 - 6th Avenue South East,Calgary,T2G 4S6,Alberta,no,http://bowvalleycollege.ca/,info@bowvalleycollege.ca,403-410-3413,no,no,no,no,yes,no,no,yes,no,no,no,yes
86,Boys & Girls Club of Moncton,"(46.104413, -64.814983)",15 Everett Street,Moncton,E1C 3Z6,New Brunswick,no,https://www.bgcmoncton.com/en/,,506-858-0949,no,no,no,no,no,no,no,no,yes,no,no,yes
87,Boys and Girls Clubs Big Brothers & Big Sisters Society of Edmonton & Area,"(53.557255, -113.484612)",9425 109A Avenue NW,Edmonton,T5H 1G1,Alberta,no,http://bgcbigs.ca/,,780-424-8181,no,no,no,no,no,no,no,no,no,no,no,yes
88,Boys and Girls Clubs of Calgary,"(51.064048, -114.047101)",731 13th Avenue NE,Calgary,T2E 1C8 ,Alberta,no,http://www.calgaryboysandgirlsclub.ca,info@bgcc.ab.ca,403-276-9981,no,yes,no,no,yes,no,no,no,no,no,no,yes
89,Bradford Immigrant & Community Services,"(44.114605, -79.564392)","11 Holland Street East, PO Box 1564",Bradford,L3Z 2B8,Ontario,no,http://www.bradfordimmigrant.ca,inquiries@bradfordimmigrant.ca,905-775-3343,no,yes,yes,no,no,no,no,yes,yes,no,no,no
90,Brampton Multicultural Community Centre,"(43.661662, -79.721338)","197 County Court Boulevard, Suite 303",Brampton,L6W 4P6,Ontario,yes,http://www.bmccentre.org/,,905-790-8482,no,yes,no,no,yes,no,no,no,no,yes,yes,yes
91,Brampton Multicultural Community Centre,"(43.529714, -79.717437)","4120 Ridgeway Drive, Unit 43",Mississauga,L5L 5S9,Ontario,yes,http://www.bmccentre.com/,,905-790-8482,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
92,Brampton Multicultural Community Centre,"(43.7196, -79.6854)","Civic Centre, 150 Central Park Drive, Suite 107",Brampton,L6T 2T9,Ontario,yes,http://www.bmccentre.org/,,905-790-8482,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
93,Bredin Centre for Career Advancement Bredin Institute,"(53.535411, -113.507996)","500, 9707 110 Street NW",Edmonton,T5K 2L9,Alberta,no,http://www.bredin.ca,,780-425-3730,no,yes,no,no,yes,no,no,no,no,no,no,no
94,Bredin Centre for Learning,"(52.2626231, -113.8167517)",500 - 5010 43 Street,Red Deer,T4N 6H2,Alberta,no,https://bredin.ca/,,780-425-3730,no,no,no,no,no,no,no,yes,no,no,no,no
95,British Columbia Construction Association,"(48.433289, -123.379707)",405-655 Tyee Road,Victoria,V9A 6X5,British Columbia,no,http://bccassn.com,chris.atchison@bccassn.com,250-475-1077,no,no,no,no,yes,no,no,no,no,no,no,no
96,Brooks and County Immigration Services (BCIS) - CCIS is Umbrella organization,"(50.571027, -111.893005)",Unit 2 - 500 Cassils Road E,Brooks,T1R 1M6,Alberta,no,http://www.bcis-brooks.ca/,,403-362-0235,yes,yes,yes,no,yes,no,no,no,yes,no,no,no
97,Burnaby Neighbourhood House,"(49.225472, -123.004389)","4460 Beresford St, Burnaby, BC",Vancouver,V5H 0B8,British Columbia,no,https://burnabynh.ca/,info@burnabynh.ca,604-431-0400,no,yes,no,no,no,no,no,no,no,yes,no,yes
98,Caledon Community Services,"(43.879972, -79.737505)",18 King Street East,Caledon,L7E 1E8,Ontario,yes,https://ccs4u.org/,engage@ccs4u.org,905-584-9460,no,yes,no,no,no,no,no,yes,yes,no,no,no
99,Calgary Bridge Foundation for Youth - Country Hills Library,"(51.000612, -114.071059)","5920 Macleod Trail SW, Suite 620",Calgary,T3K 6E3,Alberta,no,http://www.cbfy.ca/,ureddy@cbfy.ca,403-260-2600,no,no,no,no,no,no,no,no,yes,no,no,yes
100,Calgary Bridge Foundation For Youth - Education Centre CBE,"(51.041437, -114.081792)",1221 8 Street SW,Calgary,T2R 0L4,Alberta,no,http://www.cbfy.ca/,,403-230-7745,no,no,no,no,no,no,no,no,yes,no,no,yes
101,Calgary Bridge Foundation for Youth - Macleod Place 1,"(51.000612, -114.071059)",5920 Macleod Trail SW,Calgary,T2H 0K2,Alberta,no,http://www.cbfy.ca/,ureddy@cbfy.ca,403-230-7745,no,yes,no,no,no,no,no,no,no,no,no,yes
102,Calgary Bridge Foundation for Youth - St. John Reception,"(51.052128, -114.091688)",15 12 Street NW,Calgary,T2N IY4,Alberta,no,http://www.cbfy.ca/,ureddy@cbfy.ca,403-230-7745,no,no,no,no,no,no,no,no,yes,no,no,yes
103,Calgary Bridge Foundation for Youth - Village Square Library,"(51.075457, -113.952631)",2623 56 Street NE,Calgary,T1Y 6E7,Alberta,no,http://www.cbfy.ca/,ureddy@cbfy.ca,403-260-2600,no,no,no,no,no,no,no,no,yes,no,no,yes
104,Calgary Catholic Immigration Society,"(50.5772649, -113.8739744)","2nd Floor, 609 Centre Street",High River,T1V 1R7,Alberta,no,https://www.ccisab.ca/services/rural-alberta-services.html#fcis-high-river,,403-362-0236,no,yes,yes,no,yes,no,no,no,yes,no,no,yes
105,Calgary Catholic Immigration Society,"(50.5724995, -111.8901074)",Bay 2 – 500 Cassils Road East,Brooks,T1R 1M6,Alberta,no,https://www.bcis-brooks.ca,info@bcisbrooks.ca,403-362-0404,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes
106,Calgary Catholic Immigration Society,"(50.725682, -113.979715)","87 Elizabeth Street, Bay 2",Okotoks,T1S 1B3,Alberta,no,https://www.ccisab.ca/services/rural-alberta-services.html#bcis-brooks,,403-362-0235,no,yes,yes,no,yes,no,no,no,yes,no,no,yes
107,Calgary Catholic Immigration Society (CCIS),"(51.042928, -114.087021)","1111 11 Avenue SW, 5th Floor",Calgary,T2R 0G5,Alberta,no,http://www.ccisab.ca,contact@ccisab.ca,403-262-2006,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
108,Calgary Catholic Immigration Society (CCIS),"(51.128871, -114.200757)",501 400 Crowfoot Crescent NW,Calgary,T3G 5H6,Alberta,no,https://www.ccisab.ca/nw-calgary,,587-391-3386,no,yes,no,no,yes,no,no,no,no,no,no,no
109,Calgary Catholic Immigration Society (CCIS) - High River Branch (FCIS),"(50.5764655, -113.8734085)","2nd Floor, 9A 710 Centre Street SE",High River, T1V 0H3,Alberta,no,,,403-652-5325,no,yes,yes,no,no,no,no,no,yes,no,no,yes
110,Calgary Catholic Immigration Society (CCIS) - Okotoks Branch (FCIS),"(50.725369, -113.975082)","Office 4, Bay 2 87 Elizabeth Street",Okotoks,T1S 1B3,Alberta,no,http://www.ccisab.ca,,403-938-4699,no,yes,yes,no,no,no,no,no,yes,no,no,yes
111,Calgary Immigrant Women's Association (CIWA),"(51.049409, -114.060679)","138 - 4th Avenue SE, Suite 200",Calgary,T2G 4Z6,Alberta,no,http://www.ciwa-online.com,,403-263-4414,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes
112,Calgary Region Immigrant Employment Council,"(51.041282, -114.062933)",880 105 12 Avenue SE,Calgary,T2G 1A1,Alberta,no,http://www.criec.ca/,,587-894-7580,no,no,no,no,no,no,no,no,no,no,no,no
113,Camosun College,"(48.4466, -123.3221)","3100 Foul Bay Road, Victoria, BC",Victoria,V8P 5J2,British Columbia,no,http://camosun.ca/,plant@camosun.bc.ca,250-370-4683,no,yes,no,no,yes,no,no,no,no,no,yes,no
114,"Canadian Centre for Language and Cultural Studies, Inc.","(43.727012, -79.288145)",1921 Eglinton Avenue East 2nd floor,Toronto,M1L 2L6,Ontario,no,http://www.cclcs.ca/,,416-755-0406,no,no,no,no,no,no,no,yes,yes,no,no,no
