organization,link,org_link,address,description,fees,eligibility,languages,areas_served,last_updated
Armenian Relief Society Toronto Roubina Chapter - Social Service Office,https://www.centralwesthealthline.ca/displayService.aspx?id=133746,http://www.acctoronto.ca/organizations/armenian-relief-society,"ARS Social Services, 45 Hallcrown Place Toronto, ON M2J 4Y4","Social services Social services need assessment, information and referral to community and social services help filling out government forms including housing and Ontario Works, Ontario Disability Support Program support finding housing child care, registering children in school health care, youth services interpretation Newcomers and refugees orientation and adaptation information and referral supportive family counselling -- short-term counselling to clients who encounter difficulties in adjusting to life in Canada referrals to employment counselling -- resume help, job readiness clinic, employment counselling, skills and career development and help in establishing social and professional networks Community support coordinates volunteer visitation to seniors homes and provides Armenian meals, emotional support, pastoral services and organizes cultural events organizes community events such as food drives, bone marrow drives, and social and health education lectures",Free,"Children, youth, adults and seniors from the community",English * Armenian,"Halton Region, Peel Region, Durham, York Census Division, and Greater Toronto Area","October 27, 2022"
Audmax Inc.,https://www.centralwesthealthline.ca/displayService.aspx?id=110202,http://www.audmaxinc.com,"c/o Maxcine Telfer 2426 Padstow Crescent, Suite #1, Box Mississauga, ON L5J 2G4","Audmax Inc has been providing successful driven workplace Training, Research, Learning and Business Innovation. Target solutions for immigrant women * Settlement services in French and English * 5-day job search workshop Certificate Food Handlers Training approved by Ministry of Health and Long Term Care",None,Program for new immigrant women. Permanent resident of Canada or waiting to become a permanent resident. Person who is not immigrant but has a work/refugee permit.,English * French,Peel Region,"March 29, 2019"
AWIC Community and Social Services,https://www.centralwesthealthline.ca/displayService.aspx?id=133494,http://awicinfo.org,"11 Ivy Bush Ave Unit 6 Toronto, ON M1V 2W7","Classes for English as a Second Language, and computer skills Classes for English as a Second Language, and computer skills Fees",None,"Anyone from the community, seniors often find current programs useful Residency Requirements: Northern Toronto and southern York Region",English * Gujarati * Hindi * Tamil,Toronto and York Census Division,"October 3, 2022"
Brampton Multicultural Community Centre - Brampton North,https://www.centralwesthealthline.ca/displayService.aspx?id=179026,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to newcomers to Canada. Current programs and services include: Settlement Services Educational Services Health Services Employment Services Youth Services Seniors Services Services are provided at three (3) locations 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",Program - Access Centre for Training and Technology: nominal fee,Permanent residents of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - 150 Central Park Dr,https://www.centralwesthealthline.ca/displayService.aspx?id=159959,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to the newcomers to Canada. Current programs and services include: Crisis Counselling Employment Services Community Connections Youth Settlement Seniors Mind Your Health Most programs are provided at all three (3) locations 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",Program - Access Centre for Training and Technology: nominal fee,Permanent resident of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - 197 County Court Blvd - Brampton South,https://www.centralwesthealthline.ca/displayService.aspx?id=159960,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to newcomers to Canada Current programs and services include: Crisis Counselling Employment Services Community Connections Youth Settlement Seniors Mind your Health Most programs are provided at all three (3) locations 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",Program - Access Centre for Training and Technology: nominal fee,Permanent residents of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Community Connections-Library,https://www.centralwesthealthline.ca/displayService.aspx?id=179002,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to newcomers to Canada Settlement workers in library-LSP workers organize a variety of information sessions based on the needs of the newcomer community * Library Settlement Partnership (LSP) is provided at Brampton Public Libraries. Participating Libraries Chinguacousy Library, Gore Meadows Library, South Fletchers Library, Mount Pleasant Library and Springdale Library Workshops and Events: English Conversation Circle - held weekly at all participating libraries. Participants practice English speaking and listening skills Newcomer Circles - held twice a month. Provide information to newcomers about settlement and how to prepare for life in Canada. Educates newcomers to understand the Region of Peel Community and resources available to them Seniors Sessions - held twice a month. Sessions are designed for seniors to come and share their thoughts on various topics including positive parenting, anger management, mental health, diet and nutrition, diabetes and prevention, stress/time management Pathways to Settlement Workshops - held monthly. Address current trends in the community as well as Canadian Citizenship Preparation information, financial literacy, job search resources and other information",None,Newcomers,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Community Connections-Schools,https://www.centralwesthealthline.ca/displayService.aspx?id=179000,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Multicultural, Settlement and Education Partnership (MSEP) program is a partnership between Immigration, Refugees and Citizenship Canada, the Peel District School Board, and the Dufferin Peel Catholic",None,New comers: students and parents/guardians,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 6, 2022"
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Employment Services,https://www.centralwesthealthline.ca/displayService.aspx?id=179003,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to the newcomers to Canada Supports client's job search capabilities and equips them with the necessary information, skills and tools to search for and find meaningful employment. Addresses barriers for newcomers who migrate to Canada Navigating the Canadian Labour Market - workshops that provide participants with a better understanding of the current market, develop a targeted resume, create an effective job search plan and learn about employer expectations. Through various networking sessions, participants will learn how to obtain professional and personal references, practice speaking in front of a group and build on their self-confidence through social engagements Integrated Employment Services - will provide individuals with detailed needs assessment, pre-employment training, job carving/matching services and retention support. The program is designed to help local businesses with their staffing needs by providing nominal financial incentive to employers for eligible clients",None,Permanent residents of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Mind Your Health,https://www.centralwesthealthline.ca/displayService.aspx?id=179022,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to the newcomers to Canada Mind Your Health Program is a culturally sensitive and linguistically appropriate self-awareness program about Mental Health. Its goal is to raise awareness, reduce stigma and promote mental health and well-being of the individuals and families from diverse backgrounds, so that they can enhance their ability to adapt to change, cope with challenges, engage in productive activities and contribute to their community Program offers: Assessment and Referral Counselling Case Management Services Peer Support Groups Mental Health Workshops Life Skills Training",None,Individuals ages 16 and up and their families experiencing mental Health issues,English * Hindi * Punjabi * Urdu,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Settlement - Information and Awareness Services,https://www.centralwesthealthline.ca/displayService.aspx?id=178996,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Program offers information and orientation on immigration, healthcare, education, employment, form filling, translation/interpretation, supportive crisis counselling and referrals to government and community Settlement counselors serve and work with the newcomer community in Peel to facilitate new immigrant settlement and integration in Canada. These settlement counselors work with new comers by creating an action plan that helps them achieve their ultimate goal Counselors also organize various information sessions that are of interest in the community. Some of these sessions include: Accessing Settlement Services Online Rights and Responsibilities of citizenship Money Management Transportation Housing/Landlord/Tenant Rights Education System in Ontario Canadian Workplace Culture Stress Management Crisis Counselling Wills/Legal Matters Life Skills Orientation to Ontario Navigating the Labour Market Services are provided at three (3) locations in Peel area: 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",No Fee,New comers to Canada,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Settlement - Newcomer Settlement Program (NSP),https://www.centralwesthealthline.ca/displayService.aspx?id=179015,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","The Newcomer Settlement Program (NSP), supports immigrants, refugees and citizens in their settlement and adaptation process. Settlement Counselors assist clients either one on one or in a group setting to overcome day-to-day challenges, find out about available services of benefit to them, and support them as they integrate into their communities. Various workshops are conducted every month on various settlement related topics such as landlord and tenant rights, the Ontario school system, and parenting in Canada, government programs and services, healthcare etc.",No Fee,Newcomers to Canada,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Youth - New Direction: Gang Prevention and Intervention,https://www.centralwesthealthline.ca/displayService.aspx?id=179023,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to the newcomers to Canada Provides support to youth who are at-risk/involved in gang related activities. Youth ages 12 â 20 years old are engaged through client-centered and solution-oriented counselling, life skills and employment readiness workshops, mentoring and tutoring sessions, to ensure they remain out of the criminal justice system. Guided by a network of significant individuals in the youth participantâs life, BMC utilizes the âWrap Aroundâ approach to collectively provide encouragement and support to youth and help them achieve goals to contribute to their holistic development and sustain learning outcomes. The prevention part of the program if offered through life skills workshops focusing on self-esteem, anger/conflict management, goal setting, personal awareness, healthy relationships and the importance of staying in school. Designed according to the needs of the audience and delivered in various schools and youth serving agencies in Peel, the objective of these workshops is to strengthen critical thinking skills amongst youth The program also offers intervention services where a youth is referred into the program and works one-on-one with their youth counsellors. The prevention part of the program is more specific to youth who are involved or are at risk of becoming involved in gang related activities. Sessions are conducted on a one on one basis",None,Youth ages 12 - 20 years who are at risk/involved in gang related activities,English,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Youth - Pathways to Entrepreneurship,https://www.centralwesthealthline.ca/displayService.aspx?id=179005,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","Community agency providing settlement and social services to newcomers to Canada Offers support to youth to learn the basics of starting their own business, helps them develop an understanding of the challenges, expectations and steps involved in starting and operating a successful enterprise Through training and other activities participants will develop basic business management skills, refine their business concepts, and prepare a business plans. In addition, participants will engage in various networking sessions with other entrepreneurs to gain knowledge and information on business development and growth",None,18 to 29 years of age,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022"
Brampton Multicultural Community Centre - Brampton North - Youth - Volunteers for Change (V4C),https://www.centralwesthealthline.ca/displayService.aspx?id=192533,http://www.bmccentre.com,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9","The project aims to engage youth in meaningful service experiences through an innovative peer-to-peer model that combines orientation to key community issues impacting youth, skill building and volunteer work Program Objectives: Enhance youthâs capacity to become involved and lead social action projects that address community issues Raise awareness on community issues among other young people through a peer-to-peer model and community service projects in the Region of Peel Youth Leadership training will be provided, also a Certificate of Completion and Volunteer Hours will be provided on completion of the project",Free,Immigrant and visible minority youth between 15-24 years,English * French * Arabic * Bengali * Bosnian * Darai * Gujarati * Hindi * Persian * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu,Peel Region,"December 7, 2022"
CAFCAN,https://www.centralwesthealthline.ca/displayService.aspx?id=132566,http://www.cafcan.org,"Jamaican Canadian Association; 995 Arrow Rd Toronto, ON M9M 2Z5","Delivers programs and services, provides a physical hub, and advocates to improve the well-being and equity of Jamaican, Caribbean & African-Canadian communities COVID-19-- all in person programs and services are suspended, call for information on services offered remotely Mental Health Support -- intake through main line or by email (intake@cafcan.org or info@cafcan.org) children and family health counselling, counselling and safety plan for women and their children victims of violence, trauma counselling, parenting through trauma, men's focused counselling support and support for LGBTQ+ support provided in Twi, Amharic, Tigrinya, possibly French, and Caribbean dialect ----- Educational, vocational, immigration and employment counselling settlement services family orientation and adjustmen housing information and assistance assistance in filling out forms social and recreation programs for seniors young offenders rehabilitation program Leaders in Partnership (LIP) for children 7-14 years with serious behavioural problems at risk of suspension from school 10-week recreational program addressing the social and emotional needs of children in developing a more positive attitude towards school and their community in collaboration with schools and Toronto Police 31 Division Kujichaguilia Club (K-Club) for young offenders or youth at risk of offending, 16-26 years, of Afro Caribbean and other ethno-cultural heritage culturally-attuned staff provide individual counselling, group support, anger management, conflict resolution to help participants integrate into family and community life Parenting Program for individuals and families individual support, family mediation, mobile crisis counselling, and crisis intervention referrals to community resources, support dealing with custody issues, visitations, home assessments, family court parental assessments and advocacy Youth Outreach Worker for children and youth 12-21 years engages and connects youth with services collaborates with other community resources Violence Against Women support to women and children 16 years and older who are experiencing or have experienced domestic violence or incest individual, couple, group and crisis counselling individual and group counselling for women who have been trafficked legal and parenting support also safety planning and lifestyle management Caribbean Canadian Seniors Club (CCSC) members meet Tuesdays and Thursdays social interaction and recreational activities",None - social services,Social services open to all ; Membership -- African-Canadian or Caribbean persons or appreciation of Jamaican heritage,English * Akan * Twi,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","August 26, 2021"
