Name,Healthline Link,Website,Address,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated
Catholic Crosscultural Services - Settlement Integration Place,https://www.centralwesthealthline.ca/displayService.aspx?id=132847,http://www.ccscan.ca,"Markington Square Plaza, 3227 Eglinton Ave E Unit 135 Toronto, ON M1J 3M5",NA,416-266-7200,"Multiservice centre for newcomers COVID19 all services are provided in-person, by phone, and online; walk-ins are welcome all workshops offered on-line ----------- --------------- -------------- Settlement Services needs assessment, information and referral, supportive counselling information on employment, citizenship and immigration, education and housing, financial literacy support to file forms group sessions including English and French conversation groups, citizenship preparation sessions, computer training, career networking, parenting walk-in services, free access to computers and Internet, free fax to local numbers Community Service Programfor women including group or one-on-one settlement counselling activities to build social networks and break isolation short term skills training for employment such as cashier, retail customer service, sewing, or food handling workshops series such as chronic pain management, how to manage diabetes, nutrition (healthy eating) programs Services at other locations -- itinerant settlement counselling services, Library Settlement Program at several locations in Scarborough",None,All newcomers,English * French * Arabic * Azerbaijani * Cantonese * Farsi * Filipino * Gujarati * Hakka * Hindi * Malayalam * Mandarin * Marathi * Turkish * Urdu,Toronto,"June 17, 2022"
"Centre francophone du Grand Toronto - Newcomer Services, Head Office",https://www.centralwesthealthline.ca/displayService.aspx?id=132422,http://centrefranco.org/fr/newcomer-services/new-immigrant-information-kiosk-at-lester-b-pearson-airport/,"555 Richmond St W Suite 300 Toronto, ON M5V 3B1",NA,416-922-2672 ext 420,"Francophone multiservice agency offering various services Integration and Settlement Programincludes needs assessment, pre- and post-arrival information and referral, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services Employment support and entrepreneurial support program job search and employment counselling group activities including integration circles, job matching job needs assessment, support to build social and professional networks helping economic and social integration Connexions communautaires (Community Connections) group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development PIDEF / TÃE (Settlement in French-Language Schools Program) settlement services in French-language schools outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August Host Program for matching foreign trained professionals with peers Program also offered at: Storefront, 4040 Lawrence Av East, Scarboroug: Friday from 9 am-5 pm Community Centre TAIBU, 27 Tapscott Rd, Scarborough: Mon 9 am-5 pm Centrepoint Mall, Language and Skills, 6464, Yonge St, North York: Monday-Wednesday 8:30 am-4:30 pm Fairview Mall, 5 Fairview Mall Rd, Suite 280: Wednesday 1 pm-4:30 pm",None,"French-speaking new immigrants, temporary residents, refugees Employment support and entrepreneurial support program -- program open to all with a focus on vulnerable newcomers including asylum seekers and refugees Residency Requirements: Greater Toronto Area and surrounding region",French,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","March 23, 2021"
Chinese Association of Mississauga,https://www.centralwesthealthline.ca/displayService.aspx?id=91138,http://chineseassociationmississauga.com,"Golden Square Centre 1177 Central Pkwy W, Unit 16 Mississauga, ON L5C 4P3",NA,905-275-8558,"Chinese Association * Community/Social Activities for seniors and members * Language Instruction For Newcomers To Canada (LINC) * ESL * Newcomers Settlement Services * Child care * Volunteer opportunities and training * Job search, Resume and Cover Letter Workshop * Computer Internet Service for settlement need * Housing and Referral Services * Community Volunteer Income Tax Program for low income families, seniors, and students * Assisting low-income families and seniors to apply for Ontario Works in Peel and Peel Access to Housing * Interpretive services * Commissioner for taking affidavits *",Membership,NA,English * Chinese (Mandarin) * Interpretive Services,"Orangeville, Toronto (Etobicoke), Dufferin County, Halton Region, and Peel Region","March 4, 2020"
Citizenship and Immigration Canada - Foreign Credentials Referral Office,https://www.centralwesthealthline.ca/displayService.aspx?id=110025,http://www.canada.ca,"c/o Foreign Credentials Referral Office 365 Laurier Avenue W Ottawa, ON K1A 1L1",NA,NA,"The Foreign Credentials Referral Office (FCRO) was established in 2007. Its mandate is to provide internationally trained individuals with the information, path-finding and referral services to have their credentials assessed and recognized. The FCRO is also responsible for guiding and monitoring the implementation of pre-arrival services. Annual progress reports on foreign credential recognition highlight Government of Canada accomplishments in this field.",NA,NA,English * French * Interpretive Services,Peel Region,"March 12, 2020"
Dixie Bloor Neighbourhood Centre - Employment Ontario Employment Services,https://www.centralwesthealthline.ca/displayService.aspx?id=110686,http://dixiebloor.ca/employment-2/employment-services/,"3415 Dixie Road, Unit 1 Mississauga, ON L4Y 2B1",employmentservices@dixiebloor.ca,905-624â2442,"Helping unemployed or underemployed individuals find sustainable employment. Assisting with career, employment and training needs of individuals as well as skilled labour needs of employers. Also helping with: Information, Resources and Referrals, Individual Career and Employment Counseling, Assessment, Workshops, Service Planning, Job Search, Skills Enhancement And Training Support for example: Second Career; Job Matching, Placement and Incentives, Job Retention as well as The Mentoring Partnership Program for Internationally Trained Professionals. For more information, please visit Employment Ontario website https://www.ontario.ca/page/employment-ontario or Phone 1-800-387-5656. For more information about Mentoring Partnership Program, kindly visit our website www.thementoringpartnership.com The Mentoring Partnership program is geared towards the skilled immigrant. This program matches unemployed newcomers (less than 3 years in Canada) who are Internationally Trained Professionals (Mentees) with an employed Canadian counterpart (Mentors) in the same occupation, based on shared educational background, similar work experience and common career goals. Duration of the match is up to 24 hours over a four-month period Anyone interested in becoming a mentor (volunteer) should register on our website: www.thementoringpartnership.com Mentees - must be unemployed and entitled to work in Canada work less than an average of 20 hrs per week and be seeking FT employment must have CLB level 8 or higher English have worked at least 3 years in profession and no more than a 3-year break in this profession have gone already through job search preparation course would benefit from mentoring To become a Mentee, contact Nitin Dhora, Coordinator, Employment Ontario Employment Services & Mentoring Partnership Program 905-624-2442 ext.2220 nitin@dixiebloor.ca or, Jennifer Lewis jenniferl@dixiebloor.ca 905-624-2442 ext.2221",None - Services are free,NA,English,Peel Region,"May 14, 2019"
North York Community House - Central Program Office,https://www.centralwesthealthline.ca/displayService.aspx?id=132679,http://www.nych.ca/,"700 Lawrence Ave W Suite 350 Toronto, ON M6A 3B4",nych@nych.ca,416-784-0920,"Multiservice agency Social support programsin several locations information and referral income tax clinic referral to legal services outreach and mobilization to engage residents and strengthen the community Settlement Program outreach program based in elementary and secondary schools from mid-August to end of June and in libraries and social service agencies from July to mid-August refugee support Employment readiness and mentoring-- employment preparation, professional and social mentorship Family and community centre after school programs, parenting groups, youth programs citizenship test preparation Participates inLINC (Language Instruction for Newcomers to Canada)in English, upon assessment by YMCA of Greater Toronto -- see separate entry, child care provided English conversation circles computer club Support for Caregivers 55+ healthy living groups English conversation elder abuse awareness Caregiver Peer Support Group",NA,"Open to all Residency Requirements: Steeles Ave W (north) to St Clair Ave W / Dundas St W (south), Kipling Ave (west) to Yonge St (east)",Arabic * Bengali * Farsi * Hindi * Mandarin * Marathi * Romanian * Russian * Sinhalese * Spanish * Tagalog * Tamil * Urdu * Vietnamese,Toronto (North York),"May 25, 2022"
Ontario Council of Agencies Serving Immigrants - WelcomeOntario - Refugee Assistance Information,https://www.centralwesthealthline.ca/displayService.aspx?id=192791,http://welcomeontario.ca/,NA,welcomeontario@ocasi.org,NA,"Website bringing together trustworthy information for those helping Syrian refugees settle in Ontario * created and maintained by the Ontario Council of Agencies Serving Immigrants * contains information about the Refugee Settlement Support Project, settlement services as well as additional information in regards to the Syrian conflict",None,Syrian refugees settling in Ontario * those helping Syrian refugees,English * French,Ontario,"January 18, 2022"
Ontario Inter-Cultural Community Services - Brampton,https://www.centralwesthealthline.ca/displayService.aspx?id=177966,http://www.oics.ca,"145 Clarence St W, Unit 27 Brampton, ON L6W 1T2",info@oics.ca,905-452-1775,Ontario Intercultural Community Services (OICS) is a non-profit organization providing multidisciplinary and culturally appropriate services to under-served communities in the Region of Peel through,One time fee: $15,NA,English,Peel Region,"October 28, 2022"
Polycultural Immigrant and Community Services - Mississauga,https://www.centralwesthealthline.ca/displayService.aspx?id=61187,http://www.polycultural.org,"Sheridan Mall 2225 Erin Mills Pkwy, Lower floor (Settlement & Resource Centre) / Upper floor (LINC), Box 210 Mississauga, ON L5K 1T9",info@polycultural.org,"*Office: 905-403-8860
*Counselling Services ext 5221
*Language training ext 5234","Provides programs for new immigrants, first generation Canadians and refugees, Language Instruction For Newcomers To Canada (LINC) Program - full time and evening English classes (Literacy to Level 7) *free for permanent residents, convention refugees *child minding for pre-school children for registered students *Settlement Services - information on settlement related topics and referral *interpretation over the phone and/or in person to facilitate access to programs and services such as social assistance, medical care and legal services *case management services for high needs clients * providing information on career and employment counselling *crisis counselling * crisis intervention, Resource Centre For New Immigrants - computers with internet access *assistance with information search, letter preparation, completing on-line applications *fax (local numbers) and photocopier *information sessions on settlement topics *internal referrals to individual counselling and English language training *referral to community and government programs and services, certification of documents and affidavits, Specialized programs for children, youth and seniors.",None,NA,English * Arabic * Chinese (Mandarin) * Hindi * Pashto * Polish * Punjabi * Spanish * Urdu,Mississauga,"February 5, 2020"
Salvation Army - Etobicoke - Community and Family Services - Etobicoke Temple,https://www.centralwesthealthline.ca/displayService.aspx?id=177165,NA,"2152 Kipling Ave Etobicoke, ON M9W 4K9",etobicoke.temple@salvationarmy.ca,416-743-1282,"Emergency assistance including food, clothing and household Programs available: counselling and referrals support program for newcomers Christmas assistance program residential summer camp for children",None,NA,English,Toronto (Etobicoke) and Vaughan,"April 22, 2022"
"Salvation Army, Immigrant and Refugee Services - Main Office",https://www.centralwesthealthline.ca/displayService.aspx?id=133404,http://torontoharbourlight.ca/immigration-and-settlement-services/,"Toronto Harbour Light Ministries; 160 Jarvis St Unit 132 Toronto, ON M5B 2E1",settlementworker@salvationarmyhl.com,NA,"Organization providing immigration and settlement services COVID19-- all appointments by phone or video chat, no in-person services; call for appointment Citizenship, Immigration and Refugee Services assistance with applications for citizenship, passports and protected person travel documents help with spouse, common-law partner and child sponsorship applications refugee system navigation and related procedures such as work/study permits, permanent resident applications as protected person/Convention refugee assistance with applications to become permanent resident based on Humanitarian and Compassionate (H&C) grounds help with permanent resident card and other Canadian identification forms assistance with study permit renewal and work permit applications for international students; information about pathway to become permanent residents help for migrant workers such as work permit assistance for vulnerable people Online English classes and conversation circles Community Resources assessment, information and referral to food programs, clothing and furniture banks, employment centres, schools and education resources, health centres assistance with applications for government programs such as Ontario Works, Employment Insurance, Legal Aid, transitional and subsidized housing Spiritual Care provided through chaplain - referral and resources for religious communities, one-on-one spiritual counselling, and for ceremonies such as weddings, funerals and blessings",None,"Low-income individuals and families with any immigration status Naturalized Canadian Citizens Permanent Residents Refugee Claimants Rejected Refugee Claimants Convention refugees Temporary residents (work permit holders, international students) Non-status, (people without immigration status)",English * Portuguese * Spanish,Toronto,"July 25, 2022"
Service Canada - Caledon Scheduled Outreach Site,https://www.centralwesthealthline.ca/displayService.aspx?id=142708,http://www.servicecanada.gc.ca,"Caledon Community Services 18 King St E, Upper Fl Bolton, ON L7E 1E8",NA,"1-800-O-Canada-1-800-622-623
1-800-206-7218 Telephone Information Service (Employment Insurance)
1-800-531-7555 Telephone Reporting Service (Employment Insurance)
1-800-277-9914 CPP/OAS","Human Resource Centre, provides services to: employers, unemployed and underemployed people provide access to job banks and labour market information applications for social insurance numbers and income security programs such as Employment Insurance and Disability Benefits foreign credentials referral for newcomers to Canada services for seniors such as: Canada Pension Plan, Allowance for the survivor program, Old Age Security, Guaranteed Income Supplement Check web site for specific details","Service * Payment Type Accepted:Cheque (Cash, Debit Cards, Credit Cards are not accepted at this office)",NA,English,Caledon,"February 16, 2022"
Somali Canadian Association of Etobicoke,https://www.centralwesthealthline.ca/displayService.aspx?id=60669,http://www.somalicanadian.com,"Thistletown Multi-Services Center 925 Albion Rd NW, Unit 202 Etobicoke, ON M9V 1A6",scae@somalicanadian.com,416-742-4601,Community agency providing: settlement and orientation services information and referral translation of documents and escort services for newcomers supportive counselling youth leadership training and counselling workshops drop-in program for Somalian seniors,None,NA,English * Arabic * Italian * Somali,Toronto (Etobicoke),"August 15, 2022"
Sood Sabha of North America,https://www.centralwesthealthline.ca/displayService.aspx?id=110679,NA,"5223 Astwell Ave N Mississauga, ON L5R 3H8",soodsabha-toronto@hotmail.com,647-893-7800,"A not-for-profit organization bringing families together. (Bhawan) for organizing family ceremonies and get-together * provides boarding and lodging to new immigrants to stay free of charge for two weeks * basic membership is for Sood families, but honorary membership available to all * donations accepted (funds raised through charity)",Membership - $50/yr; can be waived for volunteers; Life membership: $1000,None,English * Hindi * Punjabi,Greater Toronto Area,"April 22, 2019"
South Asian Welcome Centre,https://www.centralwesthealthline.ca/displayService.aspx?id=160395,NA,"25 Turtlecreek Blvd Brampton, ON L6W 3X8",sawcentre18@gmail.com,365-788-5999,"An educational and social service centre providing services to the South Asian community Programs: anger management and abusive behaviour classes marital, family and individual counselling sessions alpha program, a Christian-based interactive workshop visitation and friendship development program referral services Working with other social services partners deliver culturally-sensitive programs: educational program for families, especially parents settlement program","Program * Counselling is assessed on a case by case basis (ability to pay). A basic fee of $60 per session is the suggested rate, client is informed of their expected contribution before sessions begin, no one is turned away for an inability to pay",Primarily South Asians; but also serves other cultural backgrounds,English * Hindi * Punjabi * Tamil * Urdu,Greater Toronto Area,"April 1, 2022"
YMCA of Greater Toronto - Newcomers,https://www.centralwesthealthline.ca/displayService.aspx?id=201050,http://www.ymcagta.org,"Administrative office; 2200 Yonge St, Suite 300 Toronto M4S 2C6",memberservices@ymcagta.org,416-928-9622,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership Services and Programs:",NA,NA,NA,"Toronto (East York, Etobicoke, North York, Old Toronto, Scarborough, York)","January 10, 2022"
"YMCA of Greater Toronto - Newcomers - Language Assessment and Referral Centre, Consumers Road Centre",https://www.centralwesthealthline.ca/displayService.aspx?id=152672,http://ymcagta.org/employment-and-immigrant-services/immigrant-services/language-assessment-and-referral-services,"251 Consumers Rd, Suite 110 Toronto M2J 4R3",ImmigrantServices@ymcagta.org,416-502-2484 ext 33401,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership COVID19-- service continues by email, virtual English and French language assessments Eligibility screening, language skills assessment and referral to English or French language government-funded programs programs include Language Instruction for Newcomers to Canada (LINC)/Cours de Langue pour les Immigrants au Canada (CLIC), LINC Home Study/CLIC en ligne, English as a Second Language (ESL) programs/French as a Second Language (FSL), Higher-Level Language Training (HLLT) such as Enhanced Language Training (ELT)/Cours de langue de niveau avancÃ© (CLNA), Occupation-Specific Language Training (OSLT)/ la Formation linguistique axÃ©e sur les professions (FLAP), and Specialized Language Training (SLT)",None,NA,English * French * Armenian * Bengali * Cantonese * Farsi * Hindi * Mandarin * Mongolian * Pashto * Russian * Spanish,Toronto,"January 10, 2022"
Abrigo Centre,https://www.centralwesthealthline.ca/displayService.aspx?id=133344,http://www.abrigo.ca,"1645 Dufferin St Toronto, ON M6H 3L9",info@abrigo.ca,416-534-3434,"Multiservice agency * registered charity COVID-19 --Office closed, no walk-in service * phone, email and online support only - call 416-534-3434 for counsellor assistance, or visitwebsitefor details Multiservice agency, liaison with Portuguese-speaking communities Community development information and referral, assistance with forms youth programs including school outreach workshops settlement and orientation for newcomers community education and information seniors education and recreation program Counselling services-- individual and group counselling for women and children who are victims or witnesses of abuse youth services include counselling, life skills, advocacy Success by Six parenting groups for Portuguese-speaking mothers with children birth-6 years parenting groups for fathers Partner Assault Response (PAR) Program-- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offender's progress",Service - most services ; Partner Assault Response Program - sliding scale,"Open to all with focus on Portuguese-speaking communities * Partner Assault Response Program -- offenders 18 years and older, ordered by the court to attend in response to a criminal charge involving domestic violence Residency Requirements: Greater Toronto Area",NA,Toronto,"May 23, 2019"
Achev Language Assessment Centre - Coordinated Language Assessment and Referral Services,https://www.centralwesthealthline.ca/displayService.aspx?id=147413,http://www.achev.ca/lasysd,"Doncrest Market Plaza 420 Hwy 7 E, Suite 204B Richmond Hill, ON L4B 3K2",ysla@achev.com,NA,"Assessment of English language skills for government funded language training programs * referral to community-based LINC, ESL, ELT and OSLT programs for language training Fees",None,"Immigrants to Canada who are 18 years of age or older, with the exception of vistors and international students",English * Chinese (Cantonese) * Chinese (Mandarin) * Hindi * Portuguese * Punjabi * Spanish * Tamil * Urdu,"York Region, Durham Region and Simcoe County","March 14, 2022"
Albanian Canadian Association Kosova,https://www.centralwesthealthline.ca/displayService.aspx?id=133910,NA,"3416 Dundas St W Suite 202 Toronto, ON M6S 2S1",kosova@bellnet.ca,416-760-0172,COVID19 -- open for service Community centre * settlement services * information and referral * support groups * youth support groups * individual and family counselling * translation and interpretation * assistance with immigration COVID19 -- open for service Community centre * settlement services * information and referral * support groups * youth support groups * individual and family counselling * translation and interpretation * assistance with immigration,Free to unemployed * $20 annual membership fee * fees for some translation and interpretation services,Open to all including immigrants and refugees; focus on Albanian community,English * Albanian,"Toronto, Halton Region, Peel Region, Waterloo Region, Durham, and York Census Division","July 4, 2020"
